2026-05-14 02:36:40 - [DB-Writer] DATA INSERTED for ARM | at 2026-05-13 23:36:00
2026-05-14 02:36:49 - [DB-Writer] DATA INSERTED for MSFT | at 2026-05-13 23:36:00
2026-05-14 02:36:49 - [DB-Writer] DATA INSERTED for AMZN | at 2026-05-13 23:36:00
2026-05-14 02:36:51 - [DB-Writer] DATA INSERTED for HPQ | at 2026-05-13 23:36:00
2026-05-14 02:36:51 - [DB-Writer] DATA INSERTED for NVDA | at 2026-05-13 23:36:00
2026-05-14 02:36:52 - [DB-Writer] DATA INSERTED for AAPL | at 2026-05-13 23:36:00
2026-05-14 02:36:54 - [DB-Writer] DATA INSERTED for AMD | at 2026-05-13 23:36:00
2026-05-14 02:36:54 - [DB-Writer] DATA INSERTED for GOOG | at 2026-05-13 23:36:00
2026-05-14 02:36:55 - [DB-Writer] DATA INSERTED for TSLA | at 2026-05-13 23:36:00
2026-05-14 02:36:57 - [DB-Writer] DATA INSERTED for META | at 2026-05-13 23:36:00
2026-05-14 02:37:43 - [DB-Writer] DATA INSERTED for AMZN | at 2026-05-13 23:37:00
2026-05-14 02:37:44 - [DB-Writer] DATA INSERTED for META | at 2026-05-13 23:37:00
2026-05-14 02:37:46 - [DB-Writer] DATA INSERTED for GOOG | at 2026-05-13 23:37:00
2026-05-14 02:37:48 - [DB-Writer] DATA INSERTED for AMD | at 2026-05-13 23:37:00
2026-05-14 02:37:50 - [DB-Writer] DATA INSERTED for HPQ | at 2026-05-13 23:37:00
2026-05-14 02:37:51 - [DB-Writer] DATA INSERTED for NVDA | at 2026-05-13 23:37:00
2026-05-14 02:37:53 - [DB-Writer] DATA INSERTED for TSLA | at 2026-05-13 23:37:00
2026-05-14 02:37:54 - [DB-Writer] DATA INSERTED for ARM | at 2026-05-13 23:37:00
2026-05-14 02:37:56 - [DB-Writer] DATA INSERTED for AAPL | at 2026-05-13 23:37:00
2026-05-14 02:37:56 - [DB-Writer] DATA INSERTED for MSFT | at 2026-05-13 23:37:00
2026-05-14 02:38:23 - [DB-Writer] DATA INSERTED for NVDA | at 2026-05-13 23:38:00
2026-05-14 02:38:27 - [DB-Writer] DATA INSERTED for ARM | at 2026-05-13 23:38:00
2026-05-14 02:38:38 - [DB-Writer] DATA INSERTED for MSFT | at 2026-05-13 23:38:00
2026-05-14 02:38:40 - [DB-Writer] DATA INSERTED for HPQ | at 2026-05-13 23:38:00
2026-05-14 02:38:40 - [DB-Writer] DATA INSERTED for AAPL | at 2026-05-13 23:38:00
2026-05-14 02:38:45 - [DB-Writer] DATA INSERTED for AMZN | at 2026-05-13 23:38:00
2026-05-14 02:38:51 - [DB-Writer] DATA INSERTED for TSLA | at 2026-05-13 23:38:00
2026-05-14 02:38:52 - [DB-Writer] DATA INSERTED for AMD | at 2026-05-13 23:38:00
2026-05-14 02:38:53 - [DB-Writer] DATA INSERTED for META | at 2026-05-13 23:38:00
2026-05-14 02:38:56 - [DB-Writer] DATA INSERTED for GOOG | at 2026-05-13 23:38:00
2026-05-14 02:39:43 - [DB-Writer] DATA INSERTED for NVDA | at 2026-05-13 23:39:00
2026-05-14 02:39:44 - [DB-Writer] DATA INSERTED for ARM | at 2026-05-13 23:39:00
2026-05-14 02:39:46 - [DB-Writer] DATA INSERTED for HPQ | at 2026-05-13 23:39:00
2026-05-14 02:39:46 - [DB-Writer] DATA INSERTED for AAPL | at 2026-05-13 23:39:00
2026-05-14 02:39:47 - [DB-Writer] DATA INSERTED for TSLA | at 2026-05-13 23:39:00
2026-05-14 02:39:48 - [DB-Writer] DATA INSERTED for MSFT | at 2026-05-13 23:39:00
2026-05-14 02:39:49 - [DB-Writer] DATA INSERTED for AMD | at 2026-05-13 23:39:00
2026-05-14 02:39:52 - [DB-Writer] DATA INSERTED for GOOG | at 2026-05-13 23:39:00
2026-05-14 02:39:52 - [DB-Writer] DATA INSERTED for AMZN | at 2026-05-13 23:39:00
2026-05-14 02:39:53 - [DB-Writer] DATA INSERTED for META | at 2026-05-13 23:39:00
2026-05-14 02:40:27 - [DB-Writer] DATA INSERTED for META | at 2026-05-13 23:40:00
2026-05-14 02:40:47 - [DB-Writer] DATA INSERTED for NVDA | at 2026-05-13 23:40:00
2026-05-14 02:40:48 - [DB-Writer] DATA INSERTED for AAPL | at 2026-05-13 23:40:00
2026-05-14 02:40:49 - [DB-Writer] DATA INSERTED for ARM | at 2026-05-13 23:40:00
2026-05-14 02:40:50 - [DB-Writer] DATA INSERTED for AMZN | at 2026-05-13 23:40:00
2026-05-14 02:40:53 - [DB-Writer] DATA INSERTED for GOOG | at 2026-05-13 23:40:00
2026-05-14 02:40:54 - [DB-Writer] DATA INSERTED for AMD | at 2026-05-13 23:40:00
2026-05-14 02:40:55 - [DB-Writer] DATA INSERTED for HPQ | at 2026-05-13 23:40:00
2026-05-14 02:40:56 - [DB-Writer] DATA INSERTED for MSFT | at 2026-05-13 23:40:00
2026-05-14 02:40:57 - [DB-Writer] DATA INSERTED for TSLA | at 2026-05-13 23:40:00
2026-05-14 02:41:36 - [DB-Writer] DATA INSERTED for HPQ | at 2026-05-13 23:41:00
2026-05-14 02:41:38 - [DB-Writer] DATA INSERTED for AMZN | at 2026-05-13 23:41:00
2026-05-14 02:41:43 - [DB-Writer] DATA INSERTED for ARM | at 2026-05-13 23:41:00
2026-05-14 02:41:46 - [DB-Writer] DATA INSERTED for GOOG | at 2026-05-13 23:41:00
2026-05-14 02:41:46 - [DB-Writer] DATA INSERTED for MSFT | at 2026-05-13 23:41:00
2026-05-14 02:41:50 - [DB-Writer] DATA INSERTED for AMD | at 2026-05-13 23:41:00
2026-05-14 02:41:51 - [DB-Writer] DATA INSERTED for NVDA | at 2026-05-13 23:41:00
2026-05-14 02:41:52 - [DB-Writer] DATA INSERTED for META | at 2026-05-13 23:41:00
2026-05-14 02:41:54 - [DB-Writer] DATA INSERTED for AAPL | at 2026-05-13 23:41:00
2026-05-14 02:41:56 - [DB-Writer] DATA INSERTED for TSLA | at 2026-05-13 23:41:00
2026-05-14 02:42:30 - [DB-Writer] DATA INSERTED for HPQ | at 2026-05-13 23:42:00
